firma,adresse,plz_ort,telefon,email,bkp_codes
Keiser Metall-Stahlbau AG,Galgenried 12,6371 Stans,+41 (41) 619 81 10,info@keiser-metallbau.ch,272.2 Allgemeine Metallbauarbeiten
Wasta AG,Galgenried 28,6370 Stans,+41 (41) 619 09 70,info@wasta.ch,272.2 Allgemeine Metallbauarbeiten
Bucher AG,Fännring 6,6403 Küssnacht am Rigi,+41 (41) 780 36 64,info@schreinereibucher.ch,273.0 Innentüren; 273.3 Allgemeine Schreinerarbeiten
M&T von Rotz GmbH,Flüelistrasse 28,6064 Kerns,,,273.0 Innentüren; 273.3 Allgemeine Schreinerarbeiten
Müller Die Fachschreinerei AG,Pilatusstrasse 16,6060 Sarnen,+41 (41) 660 23 73,info@fachschreinerei.ch,273.0 Innentüren; 273.3 Allgemeine Schreinerarbeiten
Norma Reiden AG,Hauptstrasse 99,6260 Reiden,+41 (62) 749 09 09,info@norma.ch,273.0 Innentüren
RWD Schlatter AG,Bergstrasse 23,8953 Dietikon,+41 (44) 745 40 40,dominik.vogel@rwdschlatter.ch,273.0 Innentüren
Schreinerei Amschwand AG,Chäli 1,6064 Kerns,+41 (41) 666 28 28,info@amschwand.ch,273.0 Innentüren; 273.3 Allgemeine Schreinerarbeiten
Türenfabrik Turbenthal AG,Postfach 324,8488 Turbenthal,+41 (52) 397 25 50,info@tt-tueren.ch,273.0 Innentüren
Wagner Fredi GmbH,Sarnerstrasse 27,6064 Kerns,+41 (41) 660 97 92,info@wagnerfredi.ch,273.0 Innentüren; 273.3 Allgemeine Schreinerarbeiten
Delbag AG,Pilatusstrasse 2,6036 Dierikon,+41 (41) 375 02 90,luzern@delbag.ch,275 Schliessanlagen
Moser Sicherheit AG,Blegistrasse 23,6340 Baar,+41 (41) 781 33 77,info@moser-sicherheit.ch,275 Schliessanlagen
Pilatus Schliesstechnik GmbH,Arsenalstrasse 4,6005 Luzern,+41 (41) 342 10 70,,275 Schliessanlagen
Rösch & Partner GmbH,Obergrundstrasse 28,6002 Luzern,+41 (41) 342 03 42,info@roesch-schliesstechnik.ch,275 Schliessanlagen
SAG Schlüssl-Service AG,Buchenstrasse 4,6210 Sursee,+41 (41) 921 21 05,info@sag-sursee.ch,275 Schliessanlagen
SE Sicherheit & Energie AG,Pilatusstrasse 9,6036 Dierikon,+41 (41) 259 29 89,schliesstechnik@sicherheit-energie.ch,275 Schliessanlagen
Zaugg Schliesstechnik AG,Täschmattstrasse 16,6015 Luzern,+41 (58) 255 64 00,verkauf@zaugg-sicher.ch,275 Schliessanlagen
Karl Morf AG,Riedstrasse 9,6330 Cham,+41 (44) 852 30 00,info@morf-ag.ch,"278 Beschriftungen, Markierungen, Signaletik"
PSM Markierungen Hannes Püntener,Unterhofstrasse 14,6208 Oberkirch LU,+41 (41) 921 03 33,psm-markierungen@bluewin.ch,"278 Beschriftungen, Markierungen, Signaletik"
Signal AG Strassensignalisationen,Postfach 55,3294 Büren an der Aare,+41 (32) 352 11 11,,"278 Beschriftungen, Markierungen, Signaletik"
Ernst Zurfluh AG,Bernerhöhe Süd 1,6410 Goldau,+41 (41) 855 35 94,renizurfluh@bluewin.ch,281.0 Unterlagsböden; 281.1 Fugenlose Bodenbeläge
Fiechter + Fuchs AG,Aspacherstrasse 58 A,8413 Neftenbach,+41 (52) 305 01 11,info@fiechterfuchs.ch,281.0 Unterlagsböden; 281.1 Fugenlose Bodenbeläge
Flooratec AG,Hasenmoosstrasse 15,6023 Rothenburg,+41 (41) 289 20 10,flooratec.ag@bluewin.ch,281.0 Unterlagsböden; 281.1 Fugenlose Bodenbeläge
Marrer Unterlagsböden AG,Industriestrasse 8,4658 Däniken,+41 (62) 858 20 30,info@marrer-ag.ch,281.0 Unterlagsböden; 281.1 Fugenlose Bodenbeläge
MSV Floor AG,Moosstrasse 7,6212 St. Erhard,+41 (41) 980 66 85,info@msvfloor.ch,281.0 Unterlagsböden; 281.1 Fugenlose Bodenbeläge
Repoxit AG,Spinnereiweg 9,8307 Illnau-Effretikon,+41 (52) 244 09 09,info@repoxit.com,281.0 Unterlagsböden; 281.1 Fugenlose Bodenbeläge
Susag Unterlagsboden GmbH,Zentralstrasse 9,6036 Dierikon,+41 (41) 455 00 11,susag@susag.ch,281.0 Unterlagsböden; 281.1 Fugenlose Bodenbeläge
Walo Bertschinger AG,Neuhaltenring 8,6030 Ebikon,+41 (41) 444 14 41,bodenbelaege.zentral@walo.ch,281.1 Fugenlose Bodenbeläge
Amstutz Dekoration,Dominiweg 2,6072 Sachseln,+41 (41) 660 26 44,info@amstutz-dekoration.ch,"281.2 Bodenbeläge aus Kunststoffen, Textilien etc.; 281.7 Bodenbeläge aus Holz"
Bucher AG,Dorfstrasse 3,6064 Kerns,+41 (41) 660 17 04,bucher.innendeko@bluewin.ch,"281.2 Bodenbeläge aus Kunststoffen, Textilien etc.; 281.7 Bodenbeläge aus Holz"
Hans Hassler AG,Chamerstrasse 174,6300 Zug,+41 (41) 748 00 48,infozug@hassler.ch,"281.2 Bodenbeläge aus Kunststoffen, Textilien etc.; 281.7 Bodenbeläge aus Holz"
Küttel Teppiche AG,Luzernerstrasse 94,6010 Kriens,+41 (41) 311 23 23,info@kuettel.ch,"281.2 Bodenbeläge aus Kunststoffen, Textilien etc.; 281.7 Bodenbeläge aus Holz"
Parkettplus GmbH,Hohfurlistrasse 4,6064 Kerns,+41 (41) 660 11 53,info@parkettplus.com,"281.2 Bodenbeläge aus Kunststoffen, Textilien etc.; 281.7 Bodenbeläge aus Holz"
Spiller AG,Horwerstrasse 133,6010 Kriens,+41 (41) 349 10 00,info@spiller.ch,"281.2 Bodenbeläge aus Kunststoffen, Textilien etc.; 281.7 Bodenbeläge aus Holz"
Baumo AG,Seeburgstrasse 27,6403 Küssnacht am Rigi,+41 (79) 209 22 08,baumo@gmx.ch,281.6 Bodenbeläge Plattenarbeiten
Dillier Feuer + Platten AG,Postfach 1217,6061 Sarnen 1,+41 (41) 660 45 22,info@dilliersarnen.ch,281.6 Bodenbeläge Plattenarbeiten
Enz Karl GmbH,Brünigstrasse 219,6078 Bürglen OW,+41 (41) 678 15 83,info@enz-der-pflaesterer.ch,281.6 Bodenbeläge Plattenarbeiten
Föhn Platten AG Keramische Platten,Gätzlistrasse 2,6440 Brunnen,+41 (41) 825 61 61,info@foehnplatten.ch,281.6 Bodenbeläge Plattenarbeiten
Hess & Partner Platten Ofenbau AG,Chilcherlistrasse 1,6055 Alpnach Dorf,+41 (41) 670 15 18,info@hessundpartner.ch,281.6 Bodenbeläge Plattenarbeiten
Philipp Staub GmbH,Gartenstrasse 25,6060 Sarnen,,,281.6 Bodenbeläge Plattenarbeiten
Rohrer Platten GmbH,Brünigstrasse 270,6072 Sachseln,+41 (41) 661 22 35,info@rohrer-platten.ch,281.6 Bodenbeläge Plattenarbeiten
Zimmermann & Riebli AG,Gotthardlistrasse 1,6372 Ennetmoos,+41 (41) 610 77 66,zimmermannriebli@bluewin.ch,281.6 Bodenbeläge Plattenarbeiten
Schnyder Parkett GmbH,Riedenmatt 4,6370 Stans,+41 (41) 622 40 22,,281.7 Bodenbeläge aus Holz
Burch Bauaustrocknung AG,Industriestrasse 11,6074 Giswil,+41 (41) 676 77 44,,286 Bautrocknung
Hälg & Co. AG,Ronstrasse 7,6030 Ebikon,+41 (41) 369 60 60,,286 Bautrocknung
Holag Bauheizung,Feldmattstrasse 34,6032 Emmen,+41 (41) 260 65 44,info@holag.ch,286 Bautrocknung
Trockentech AG,Bachweid 3,6340 Baar,+41 (41) 761 41 70,info@trockentech.ch,286 Bautrocknung
A.G. Blitz Clean GmbH,Panoramastrasse 17,6074 Giswil,+41 (41) 675 29 10,info@blitz-clean.ch,287 Baureinigung
Cleandor GmbH,Vorderrainstrasse 13,6005 Luzern,,,287 Baureinigung
Gallo AG,Bösch 45,6331 Hünenberg,+41 (41) 785 63 50,info.huenenberg@gallo.ch,287 Baureinigung
gschaffig ag,Brünigstrasse 114,6060 Sarnen,+41 (41) 620 88 88,info@gschaffig.ch,287 Baureinigung
Inter Clean AG,Horwerstrasse 26,6010 Kriens,+41 (41) 410 97 92,info@interclean.ch,287 Baureinigung
Paul Hegglin GmbH,Industriestrasse 4,6060 Sarnen,+41 (41) 660 85 77,info@hausmanager.ch,287 Baureinigung
Perltex AG,Horwerstrasse 83,6005 Luzern,+41 (41) 249 43 30,info@perltex.ch,287 Baureinigung
Amstutz Gartenbau AG,Neuhasli 2,6032 Emmen,+41 (41) 268 60 10,info@amstutzgartenbau.ch,421 Gärtnerarbeiten
Blättler Gartenbau GmbH Gartenbau Gartenpflege,Gerbistrasse 3,6064 Kerns,+41 (41) 660 56 55,info@blaettler-gartenbau.ch,421 Gärtnerarbeiten
Burri & Achermann Gartenbau AG,Unter Pfaffwil 1,6034 Inwil,+41 (41) 340 30 32,,421 Gärtnerarbeiten
DUKA Gartenbau AG,Niderholzstrasse 40,6062 Wilen (Sarnen),+41 (41) 662 09 62,duka@bluewin.ch,421 Gärtnerarbeiten
Egli Gartenbau AG Sursee,Allee 3,6210 Sursee,+41 (41) 926 60 00,info@gartenbau-egli.ch,421 Gärtnerarbeiten
Enz Markus AG Gartenbau,Postfach 318,6460 Altdorf UR 1,+41 (41) 879 80 00,info@enz-ag.ch,421 Gärtnerarbeiten
Gärnter Pflugshaupt AG,Postfach 373,6210 Sursee,+41 (41) 925 70 00,info@pflugshaupt.ch,421 Gärtnerarbeiten
Gebr. Kuster AG,Bahnhofplatz 1,6371 Stans,+41 (41) 619 20 80,info@blumenkuster.ch,421 Gärtnerarbeiten
Hodel & Partner AG Gartenunternehmer,Kaiserhof 1,6102 Malters,+41 (41),,421 Gärtnerarbeiten
Küng Garten,Vockigenstrasse 8,6055 Alpnach Dorf,+41 (41) 670 10 10,pk@kuenggarten.ch,421 Gärtnerarbeiten
Portmann Garten AG,Mittelgasse 5,6056 Kägiswil,+41 (41) 666 50 30,,421 Gärtnerarbeiten
