bkp_code,bkp_bezeichnung,unt_id,firma,adresse,plz_ort,telefon,email
228.3,Markisen,22245,Stobag AG,Postfach 373,5630 Muri AG,+41 (56) 675 42 00,info@stobag.ch
230,Elektroanlagen,25060,Durrer Jost Energie GmbH,Flüelistrasse 26,6064 Kerns,+41 (41) 660 86 66,info@durrerenergie.ch
230,Elektroanlagen,25064,Elektro Ettlin AG,Sagenstrasse 1,6064 Kerns,+41 (41) 660 51 66,elektro.ettlinag@bluewin.ch
230,Elektroanlagen,24925,Elektro Furrer AG,Edisriederstrasse 83,6072 Sachseln,+41 (41) 662 00 70,info@elektrofurrer.ch
230,Elektroanlagen,25065,Elektro Huwyler AG,Kanalstrasse 10,6056 Kägiswil,+41 (41) 666 30 70,info@elektro-huwyler.ch
230,Elektroanlagen,13996,Elektro Kaiser AG Maréchaux,Dorfstrasse 10,6072 Sachseln,+41 (41) 666 56 66,info@elektro-kaiser.ch
230,Elektroanlagen,25061,Enertech AG,Kägiswilerstrasse 29,6060 Sarnen,+41 (41) 666 29 99,info@enertech.ch
230,Elektroanlagen,14339,Ettlin AG,Brünigstrasse 12,6055 Alpnach Dorf,+41 (41) 672 72 72,info@elektro-ettlin.ch
230,Elektroanlagen,25063,EWO Gebäudetechnik AG,Stanserstrasse 8,6064 Kerns,+41 (41) 672 77 00,info@ewo-gbt.ch
230,Elektroanlagen,25082,Frey+Cie Elektro AG Stans,Oberstmühle 1,6370 Stans,+41 (41) 622 00 20,info@freycie-stans.ch
230,Elektroanlagen,25067,Gasser Elektro AG,Industriestrasse 6,6055 Alpnach Dorf,+41 (41) 670 19 52,info@gasserag-elektro.ch
230,Elektroanlagen,25068,Gebr. Kiser Elektro,Brünigstrasse 166,6060 Sarnen,+41 (41) 660 26 56,info@kiser-elektro.ch
235.8,Sicherheitsanlagen,25297,CKW Security Stansstad,Rotzbergstrasse 15,6362 Stansstad,+41 (41) 618 08 08,security@ckw.ch
235.8,Sicherheitsanlagen,14885,Frey + Cie Sicherheitstechnik AG,Stationsstrasse 89,6023 Rothenburg,+41 (41) 329 06 06,info@freysicherheit.ch
235.8,Sicherheitsanlagen,21617,Securiton AG,Station-Ost 7,6023 Rothenburg,+41 (58) 910 62 10,luzern@securiton.ch
235.8,Sicherheitsanlagen,21775,Siemens Schweiz AG,Platz 3,6039 Root D4,+41 (58) 557 65 79,
235.8,Sicherheitsanlagen,22683,Telcom Cablenet AG,Buzibachstrasse 31A,6023 Rothenburg,+41 (41) 618 20 10,info@telcomcablenet.ch
239,Photovoltaik- und Solaranlagen,25151,Bedachungen Rohrer GmbH,Hänsigrüt 5,6072 Sachseln,+41 (41) 660 70 40,info@rohrer-dach.ch
239,Photovoltaik- und Solaranlagen,12324,Bucher Dach AG,Sandbachstrasse 13,6064 Kerns,+41 (41) 740 19 91,info@bucherdach.ch
239,Photovoltaik- und Solaranlagen,25152,Dach und Solar AG,Kernserstrasse 11,6056 Kägiswil,+41 (41) 660 16 70,info@dachundsolar.ch
239,Photovoltaik- und Solaranlagen,25477,E. Lutz AG Gebäudehülle,Rothering 9a,6015 Luzern,+41 (41) 260 77 77,info@elutzag.ch
239,Photovoltaik- und Solaranlagen,25061,Enertech AG,Kägiswilerstrasse 29,6060 Sarnen,+41 (41) 666 29 99,info@enertech.ch
239,Photovoltaik- und Solaranlagen,25063,EWO Gebäudetechnik AG,Stanserstrasse 8,6064 Kerns,+41 (41) 672 77 00,info@ewo-gbt.ch
239,Photovoltaik- und Solaranlagen,18747,Mathis Flachdach AG,Steinhausstrasse 4,6056 Kägiswil,+41 (41) 666 50 50,hallo@mathis-flachdach.ch
239,Photovoltaik- und Solaranlagen,25156,Sepp Wagner GmbH,Industriestrasse 8,6064 Kerns,+41 (41) 660 72 44,info@seppwagnergmbh.ch
239,Photovoltaik- und Solaranlagen,25154,Von Rotz Gebäudehülle Plus,Industriestrasse 11,6064 Kerns,+41 (41) 660 60 88,info@ghplus.ch
239,Photovoltaik- und Solaranlagen,25118,Weibel+Sommer Elektro Telecom AG,Stationsstrasse 89,6023 Rothenburg,+41 (41) 289 10 00,elektro@weibel-sommer.ch
242,Heizungsanlagen,25060,Durrer Jost Energie GmbH,Flüelistrasse 26,6064 Kerns,+41 (41) 660 86 66,info@durrerenergie.ch
242,Heizungsanlagen,13738,E3 HLK AG,Horwerstrasse 62,6010 Kriens,+41 (41) 329 20 40,luzern@e3-hlk.ch
242,Heizungsanlagen,25061,Enertech AG,Kägiswilerstrasse 29,6060 Sarnen,+41 (41) 666 29 99,info@enertech.ch
242,Heizungsanlagen,14177,Equans Services AG,Industriestrasse 20,6060 Sarnen,+41 (41) 662 00 30,sarnen.ch@equans.com
242,Heizungsanlagen,15149,Gasser Heizung-Sanitär AG,Muotastrasse 24,6438 Ibach,+41 (41) 818 50 80,info@gasser-haustechnik.ch
242,Heizungsanlagen,15908,Gut AG Gebäudetechnik,Grossmatte Ost 16,6014 Luzern,+41 (41) 818 09 90,
242,Heizungsanlagen,18118,Langensand AG,Schulhausstrasse 9,6055 Alpnach Dorf,+41 (41) 670 16 60,info@langensand-ag.ch
242,Heizungsanlagen,19450,Niedermann HLK AG,Fronhofenstrasse 10,6370 Stans,+41 (41) 618 30 80,info@niedermann-hlk.ch
242,Heizungsanlagen,25059,Pilatus-Therm AG,Brünigstrasse 2,6055 Alpnach Dorf,+41 (41) 670 11 24,info@pilatus-therm.ch
242,Heizungsanlagen,20559,Reinhard Haustechnik AG,Gartenstrasse 23,6060 Sarnen,+41 (41) 660 12 82,info@reinhard-ht.ch
242,Heizungsanlagen,22122,Stalder & Birrer AG,Bürgenstockstrasse 8,6362 Stansstad,+41 (41) 610 41 55,info@stalder-birrer.ch
244,Lufttechnische Anlagen,12234,Bruni Haustechnik AG,Centralstrasse 8B,6210 Sursee,+41 (41) 220 22 00,info@bruni-haustechnik.ch
244,Lufttechnische Anlagen,12925,Clima-Nova AG,Sinserstrasse 116,6330 Cham,+41 (41) 785 25 85,info@climanova.ch
244,Lufttechnische Anlagen,13738,E3 HLK AG,Horwerstrasse 62,6010 Kriens,+41 (41) 329 20 40,luzern@e3-hlk.ch
244,Lufttechnische Anlagen,25061,Enertech AG,Kägiswilerstrasse 29,6060 Sarnen,+41 (41) 666 29 99,info@enertech.ch
244,Lufttechnische Anlagen,14177,Equans Services AG,Industriestrasse 20,6060 Sarnen,+41 (41) 662 00 30,sarnen.ch@equans.com
244,Lufttechnische Anlagen,14711,Flüma Klima AG,Postfach 1155,6031 Ebikon,+41 (41) 445 68 28,info@fluema.ch
244,Lufttechnische Anlagen,25066,Frial GmbH,Ächerlistrasse 18,6064 Kerns,+41 (41) 660 85 37,manfreda@gmx.ch
244,Lufttechnische Anlagen,15149,Gasser Heizung-Sanitär AG,Muotastrasse 24,6438 Ibach,+41 (41) 818 50 80,info@gasser-haustechnik.ch
244,Lufttechnische Anlagen,15908,Gut AG Gebäudetechnik,Grossmatte Ost 16,6014 Luzern,+41 (41) 818 09 90,
244,Lufttechnische Anlagen,19450,Niedermann HLK AG,Fronhofenstrasse 10,6370 Stans,+41 (41) 618 30 80,info@niedermann-hlk.ch
244,Lufttechnische Anlagen,25059,Pilatus-Therm AG,Brünigstrasse 2,6055 Alpnach Dorf,+41 (41) 670 11 24,info@pilatus-therm.ch
244,Lufttechnische Anlagen,20559,Reinhard Haustechnik AG,Gartenstrasse 23,6060 Sarnen,+41 (41) 660 12 82,info@reinhard-ht.ch
244,Lufttechnische Anlagen,22122,Stalder & Birrer AG,Bürgenstockstrasse 8,6362 Stansstad,+41 (41) 610 41 55,info@stalder-birrer.ch
250,Sanitäranlagen,25069,Aqwa Sanitär AG,Kägiswilerstrasse 29,6060 Sarnen,+41 (41) 618 90 00,info@aqwa.ch
250,Sanitäranlagen,25060,Durrer Jost Energie GmbH,Flüelistrasse 26,6064 Kerns,+41 (41) 660 86 66,info@durrerenergie.ch
250,Sanitäranlagen,15149,Gasser Heizung-Sanitär AG,Muotastrasse 24,6438 Ibach,+41 (41) 818 50 80,info@gasser-haustechnik.ch
250,Sanitäranlagen,15908,Gut AG Gebäudetechnik,Grossmatte Ost 16,6014 Luzern,+41 (41) 818 09 90,
250,Sanitäranlagen,17909,Krummenacher Sanitär AG,Steinhauserstrasse 4,6056 Kägiswil,+41 (41) 660 53 53,info@krummenacher-sanitaer.ch
250,Sanitäranlagen,18118,Langensand AG,Schulhausstrasse 9,6055 Alpnach Dorf,+41 (41) 670 16 60,info@langensand-ag.ch
250,Sanitäranlagen,19598,Nur noch Sanitäranlagen Odermatt Kerns AG,Erlenstrasse 16,6064 Kerns,+41 (41) 660 48 55,info@odermatt-kerns.ch
250,Sanitäranlagen,25059,Pilatus-Therm AG,Brünigstrasse 2,6055 Alpnach Dorf,+41 (41) 670 11 24,info@pilatus-therm.ch
250,Sanitäranlagen,20559,Reinhard Haustechnik AG,Gartenstrasse 23,6060 Sarnen,+41 (41) 660 12 82,info@reinhard-ht.ch
258,Kücheneinrichtungen,10553,Alpnach Küchen AG,Seetalstrasse 190,6032 Emmen,+41 (41) 455 52 52,emmen@alpnachkuechen.ch
258,Kücheneinrichtungen,11057,Astor Küchen AG,Luzernerstrasse 3,6030 Ebikon,+41 (41) 420 22 23,info@astor-kuechen.ch
258,Kücheneinrichtungen,25040,Berchtold Küchen,Stansstaderstrasse 54,6371 Stans,+41 (41) 610 32 50,info@berchtold-kuechen.ch
258,Kücheneinrichtungen,14649,Sanitas Troesch AG,Unterlachenstrasse 32,6005 Luzern,+41 (41) 317 20 30,luzern@sanitastroesch.ch
258,Kücheneinrichtungen,25226,J. Reinhart Söhne AG,Flüelistrasse 61,6064 Kerns,+41 (41) 660 11 20,box@jrs-design.ch
258,Kücheneinrichtungen,25231,Möbel Ettlin Innendekorations AG,Erlenstrasse 5,6064 Kerns,+41 (41) 660 38 46,info@moebel-ettlin.ch
258,Kücheneinrichtungen,20781,Rinderknecht AG,Obere Spichermatt 12,6371 Stans,+41 (41) 624 94 94,info@rinderknecht-ag.ch
258,Kücheneinrichtungen,25227,Röösli Küchenbau,Birkenweg 6,6064 Kerns,+41 (41) 660 84 58,info@kuechenbau-roeoesli.ch
258,Kücheneinrichtungen,25228,Schreinerei Röthlin AG,Haltenstrasse 24,6064 Kerns,+41 (41) 662 90 50,info@schreinerei-roethlin.ch
258,Kücheneinrichtungen,25283,Schreinerei Roy Jakober GmbH,Feldstrasse 1,6060 Sarnen,+41 (41) 660 19 58,ideen@royjakober.ch
258,Kücheneinrichtungen,25229,TG Gasser AG,Gorgenstrasse 3,6074 Giswil,+41 (41) 676 75 75,info@tg-gasser.ch
258,Kücheneinrichtungen,25284,Titlis Küchen,Museumstrasse 6,6060 Sarnen,+41 (41) 660 13 26,info@titlis-kuechen.ch
258,Kücheneinrichtungen,24980,Walter Spichtig AG,Itiweg 3,6072 Sachseln,+41 (41) 662 00 02,info@spichtig-schreinerei.ch
261,Aufzüge,10984,AS Aufzüge AG,Erlistrasse 3,6403 Küssnacht am Rigi,+41 (41) 445 27 27,as-kus@lift.ch
261,Aufzüge,17797,KONE (Schweiz) AG,Ruchstuckstrasse 21,8306 Brüttisellen,+41 (44) 838 38 38,switzerland@kone.com
261,Aufzüge,18283,Lift AG,Postfach 2255,8105 Regensdorf,+41 (44) 871 91 91,info@liftag.ch
261,Aufzüge,19706,OTIS AG Niederlassung Luzern,Postfach 2246,6010 Kriens,+41 (41) 329 68 40,lu.ch@otis.com
261,Aufzüge,21312,Schindler Aufzüge AG,Zugerstrasse 13,6030 Ebikon,+41 (41) 369 82 82,luzern.ch@schindler.com
271,Gipserarbeiten,25212,Dominik von Flüe,Rüteli 8,6072 Sachseln,+41 (41) 660 99 85,pfuisi@bluewin.ch
271,Gipserarbeiten,25052,Durrer Sägerei und Trockenbau GmbH,Sagenmatt 2,6066 St. Niklausen OW,+41 (41) 660 54 33,dst@durrer-gmbh.ch
271,Gipserarbeiten,25214,Filliger & Partner AG,Gruobstrasse 52,6372 Ennetmoos,+41 (41) 611 00 15,info@filliger-partner.ch
271,Gipserarbeiten,25183,Mabeco AG,Industriestrasse 1,6055 Alpnach Dorf,,
271,Gipserarbeiten,19297,MVM AG,Kirchfeldstrasse 44,6032 Emmen,+41 (41) 289 04 04,mail@mvm-ag.ch
271,Gipserarbeiten,20147,Poli Bau AG,Hasliweg 1,6052 Hergiswil,+41 (41) 632 40 20,info@polibau.ch
271,Gipserarbeiten,25213,Roman Colledani der Gestalter GmbH,Tellenstrasse 23,6056 Kägiswil,,
271,Gipserarbeiten,20950,Rossi Aregger AG,Oberneuhofstrasse 6,6340 Baar,+41 (41) 451 05 75,info@rossi-aregger.ch
271,Gipserarbeiten,21859,Slanzi Malen Gipsen AG,Mühlemattli 10,6074 Giswil,+41 (41) 675 10 60,info@slanzi.ch
272.2,Allgemeine Metallbauarbeiten,16797,Imfeld Metall- und Stahlbau AG,Chnewisstrasse 10,6078 Lungern,+41 (41) 678 10 05,imfeld@imfeld-stahlbau.ch
272.2,Allgemeine Metallbauarbeiten,17056,Iromet AG,Industriestrasse 2,6055 Alpnach Dorf,+41 (41) 672 70 20,offerten@iromet.ch
272.2,Allgemeine Metallbauarbeiten,17594,Keiser Metall-Stahlbau AG,Galgenried 12,6371 Stans,+41 (41) 619 81 10,info@keiser-metallbau.ch
272.2,Allgemeine Metallbauarbeiten,17607,Keller Werner Metallbau AG,Bahnhofstrasse 5a,6052 Hergiswil,+41 (41) 632 62 32,mail@kellermetall.ch
272.2,Allgemeine Metallbauarbeiten,21336,Schlosserei Andreas Rohrer AG,Galileo-Strasse 6,6056 Kägiswil,+41 (41) 497 00 71,info@schlosserei-rohrer.ch
272.2,Allgemeine Metallbauarbeiten,25180,Waldvogel Schlossrei GmbH,Arlistrasse 5,6064 Kerns,+41 (41) 660 57 49,schlosserei_gmbh@bluewin.ch
272.2,Allgemeine Metallbauarbeiten,23645,Wasta AG,Galgenried 28,6370 Stans,+41 (41) 619 09 70,info@wasta.ch
272.2,Allgemeine Metallbauarbeiten,23969,Wolfisberg Metallbau AG,Pilatusstrasse 4,6060 Sarnen,+41 (41) 660 12 19,info@wolfisberg-metallbau.ch
273.0,Innentüren,12282,BS Fenster + Türenbau AG,Rigistrasse 11,6210 Sursee,+41 (41) 925 11 50,info@bs-fensterbau.ch
273.0,Innentüren,12321,Bucher AG,Fännring 6,6403 Küssnacht am Rigi,+41 (41) 780 36 64,info@schreinereibucher.ch
273.0,Innentüren,16487,Holzbau Bucher AG,Untergasse 11,6064 Kerns,+41 (41) 666 07 07,info@holzbau-bucher.ch
273.0,Innentüren,25226,J. Reinhart Söhne AG,Flüelistrasse 61,6064 Kerns,+41 (41) 660 11 20,box@jrs-design.ch
273.0,Innentüren,25053,Josef Rohrer AG,Langacker 5,6073 Flüeli-Ranft,+41 (41) 666 27 80,info@rohrex.ch
273.0,Innentüren,25054,Karl Rohrer AG,Wichelstrasse 1,6072 Sachseln,+41 (41) 660 30 44,info@karo-holz.ch
273.0,Innentüren,25056,M&T von Rotz GmbH,Flüelistrasse 28,6064 Kerns,,
273.0,Innentüren,19246,Müller Die Fachschreinerei AG,Pilatusstrasse 16,6060 Sarnen,+41 (41) 660 23 73,info@fachschreinerei.ch
273.0,Innentüren,19491,Norma Reiden AG,Hauptstrasse 99,6260 Reiden,+41 (62) 749 09 09,info@norma.ch
273.0,Innentüren,25227,Röösli Küchenbau,Birkenweg 6,6064 Kerns,+41 (41) 660 84 58,info@kuechenbau-roeoesli.ch
273.0,Innentüren,21067,RWD Schlatter AG,Bergstrasse 23,8953 Dietikon,+41 (44) 745 40 40,dominik.vogel@rwdschlatter.ch
273.0,Innentüren,21448,Schreinerei Amschwand AG,Chäli 1,6064 Kerns,+41 (41) 666 28 28,info@amschwand.ch
273.0,Innentüren,25228,Schreinerei Röthlin AG,Haltenstrasse 24,6064 Kerns,+41 (41) 662 90 50,info@schreinerei-roethlin.ch
273.0,Innentüren,25229,TG Gasser AG,Gorgenstrasse 3,6074 Giswil,+41 (41) 676 75 75,info@tg-gasser.ch
273.0,Innentüren,23024,Türenfabrik Turbenthal AG,Postfach 324,8488 Turbenthal,+41 (52) 397 25 50,info@tt-tueren.ch
273.0,Innentüren,25230,Wagner Fredi GmbH,Sarnerstrasse 27,6064 Kerns,+41 (41) 660 97 92,info@wagnerfredi.ch
273.0,Innentüren,24980,Walter Spichtig AG,Itiweg 3,6072 Sachseln,+41 (41) 662 00 02,info@spichtig-schreinerei.ch
273.3,Allgemeine Schreinerarbeiten,12321,Bucher AG,Fännring 6,6403 Küssnacht am Rigi,+41 (41) 780 36 64,info@schreinereibucher.ch
273.3,Allgemeine Schreinerarbeiten,16487,Holzbau Bucher AG,Untergasse 11,6064 Kerns,+41 (41) 666 07 07,info@holzbau-bucher.ch
273.3,Allgemeine Schreinerarbeiten,16493,Holzbautechnik Burch AG,Brünigstrasse 88,6060 Sarnen,+41 (41) 666 76 86,burch@holzbautechnik.ch
273.3,Allgemeine Schreinerarbeiten,25226,J. Reinhart Söhne AG,Flüelistrasse 61,6064 Kerns,+41 (41) 660 11 20,box@jrs-design.ch
273.3,Allgemeine Schreinerarbeiten,25053,Josef Rohrer AG,Langacker 5,6073 Flüeli-Ranft,+41 (41) 666 27 80,info@rohrex.ch
273.3,Allgemeine Schreinerarbeiten,25054,Karl Rohrer AG,Wichelstrasse 1,6072 Sachseln,+41 (41) 660 30 44,info@karo-holz.ch
273.3,Allgemeine Schreinerarbeiten,25056,M&T von Rotz GmbH,Flüelistrasse 28,6064 Kerns,,
273.3,Allgemeine Schreinerarbeiten,19246,Müller Die Fachschreinerei AG,Pilatusstrasse 16,6060 Sarnen,+41 (41) 660 23 73,info@fachschreinerei.ch
273.3,Allgemeine Schreinerarbeiten,21448,Schreinerei Amschwand AG,Chäli 1,6064 Kerns,+41 (41) 666 28 28,info@amschwand.ch
273.3,Allgemeine Schreinerarbeiten,25228,Schreinerei Röthlin AG,Haltenstrasse 24,6064 Kerns,+41 (41) 662 90 50,info@schreinerei-roethlin.ch
273.3,Allgemeine Schreinerarbeiten,25229,TG Gasser AG,Gorgenstrasse 3,6074 Giswil,+41 (41) 676 75 75,info@tg-gasser.ch
273.3,Allgemeine Schreinerarbeiten,25230,Wagner Fredi GmbH,Sarnerstrasse 27,6064 Kerns,+41 (41) 660 97 92,info@wagnerfredi.ch
273.3,Allgemeine Schreinerarbeiten,24980,Walter Spichtig AG,Itiweg 3,6072 Sachseln,+41 (41) 662 00 02,info@spichtig-schreinerei.ch
275,Schliessanlagen,25224,Delbag AG,Pilatusstrasse 2,6036 Dierikon,+41 (41) 375 02 90,luzern@delbag.ch
275,Schliessanlagen,19182,Moser Sicherheit AG,Blegistrasse 23,6340 Baar,+41 (41) 781 33 77,info@moser-sicherheit.ch
275,Schliessanlagen,20059,Pilatus Schliesstechnik GmbH,Arsenalstrasse 4,6005 Luzern,+41 (41) 342 10 70,
275,Schliessanlagen,20939,Rösch & Partner GmbH,Obergrundstrasse 28,6002 Luzern,+41 (41) 342 03 42,info@roesch-schliesstechnik.ch
275,Schliessanlagen,21106,SAG Schlüssl-Service AG,Buchenstrasse 4,6210 Sursee,+41 (41) 921 21 05,info@sag-sursee.ch
275,Schliessanlagen,25225,SE Sicherheit & Energie AG,Pilatusstrasse 9,6036 Dierikon,+41 (41) 259 29 89,schliesstechnik@sicherheit-energie.ch
275,Schliessanlagen,24391,Zaugg Schliesstechnik AG,Täschmattstrasse 16,6015 Luzern,+41 (58) 255 64 00,verkauf@zaugg-sicher.ch
278,"Beschriftungen, Markierungen, Signaletik",17512,Karl Morf AG,Riedstrasse 9,6330 Cham,+41 (44) 852 30 00,info@morf-ag.ch
278,"Beschriftungen, Markierungen, Signaletik",20341,PSM Markierungen Hannes Püntener,Unterhofstrasse 14,6208 Oberkirch LU,+41 (41) 921 03 33,psm-markierungen@bluewin.ch
278,"Beschriftungen, Markierungen, Signaletik",21783,Signal AG Strassensignalisationen,Postfach 55,3294 Büren an der Aare,+41 (32) 352 11 11,
281.0,Unterlagsböden,24501,Ernst Zurfluh AG,Bernerhöhe Süd 1,6410 Goldau,+41 (41) 855 35 94,renizurfluh@bluewin.ch
281.0,Unterlagsböden,14594,Fiechter + Fuchs AG,Aspacherstrasse 58 A,8413 Neftenbach,+41 (52) 305 01 11,info@fiechterfuchs.ch
281.0,Unterlagsböden,14690,Flooratec AG,Hasenmoosstrasse 15,6023 Rothenburg,+41 (41) 289 20 10,flooratec.ag@bluewin.ch
281.0,Unterlagsböden,18681,Marrer Unterlagsböden AG,Industriestrasse 8,4658 Däniken,+41 (62) 858 20 30,info@marrer-ag.ch
281.0,Unterlagsböden,24552,MSV Floor AG,Moosstrasse 7,6212 St. Erhard,+41 (41) 980 66 85,info@msvfloor.ch
281.0,Unterlagsböden,20619,Repoxit AG,Spinnereiweg 9,8307 Illnau-Effretikon,+41 (52) 244 09 09,info@repoxit.com
281.0,Unterlagsböden,22396,Susag Unterlagsboden GmbH,Zentralstrasse 9,6036 Dierikon,+41 (41) 455 00 11,susag@susag.ch
281.1,Fugenlose Bodenbeläge,24501,Ernst Zurfluh AG,Bernerhöhe Süd 1,6410 Goldau,+41 (41) 855 35 94,renizurfluh@bluewin.ch
281.1,Fugenlose Bodenbeläge,14594,Fiechter + Fuchs AG,Aspacherstrasse 58 A,8413 Neftenbach,+41 (52) 305 01 11,info@fiechterfuchs.ch
281.1,Fugenlose Bodenbeläge,14690,Flooratec AG,Hasenmoosstrasse 15,6023 Rothenburg,+41 (41) 289 20 10,flooratec.ag@bluewin.ch
281.1,Fugenlose Bodenbeläge,18681,Marrer Unterlagsböden AG,Industriestrasse 8,4658 Däniken,+41 (62) 858 20 30,info@marrer-ag.ch
281.1,Fugenlose Bodenbeläge,24552,MSV Floor AG,Moosstrasse 7,6212 St. Erhard,+41 (41) 980 66 85,info@msvfloor.ch
281.1,Fugenlose Bodenbeläge,20619,Repoxit AG,Spinnereiweg 9,8307 Illnau-Effretikon,+41 (52) 244 09 09,info@repoxit.com
281.1,Fugenlose Bodenbeläge,22396,Susag Unterlagsboden GmbH,Zentralstrasse 9,6036 Dierikon,+41 (41) 455 00 11,susag@susag.ch
281.1,Fugenlose Bodenbeläge,23567,Walo Bertschinger AG,Neuhaltenring 8,6030 Ebikon,+41 (41) 444 14 41,bodenbelaege.zentral@walo.ch
281.2,"Bodenbeläge aus Kunststoffen, Textilien etc.",10640,Amstutz Dekoration,Dominiweg 2,6072 Sachseln,+41 (41) 660 26 44,info@amstutz-dekoration.ch
281.2,"Bodenbeläge aus Kunststoffen, Textilien etc.",12319,Bucher AG,Dorfstrasse 3,6064 Kerns,+41 (41) 660 17 04,bucher.innendeko@bluewin.ch
281.2,"Bodenbeläge aus Kunststoffen, Textilien etc.",16075,Hans Hassler AG,Chamerstrasse 174,6300 Zug,+41 (41) 748 00 48,infozug@hassler.ch
281.2,"Bodenbeläge aus Kunststoffen, Textilien etc.",17990,Küttel Teppiche AG,Luzernerstrasse 94,6010 Kriens,+41 (41) 311 23 23,info@kuettel.ch
281.2,"Bodenbeläge aus Kunststoffen, Textilien etc.",25345,Parkettplus GmbH,Hohfurlistrasse 4,6064 Kerns,+41 (41) 660 11 53,info@parkettplus.com
281.2,"Bodenbeläge aus Kunststoffen, Textilien etc.",21983,Spiller AG,Horwerstrasse 133,6010 Kriens,+41 (41) 349 10 00,info@spiller.ch
281.6,Bodenbeläge Plattenarbeiten,11552,Baumo AG,Seeburgstrasse 27,6403 Küssnacht am Rigi,+41 (79) 209 22 08,baumo@gmx.ch
281.6,Bodenbeläge Plattenarbeiten,13529,Dillier Feuer + Platten AG,Postfach 1217,6061 Sarnen 1,+41 (41) 660 45 22,info@dilliersarnen.ch
281.6,Bodenbeläge Plattenarbeiten,14198,Enz Karl GmbH,Brünigstrasse 219,6078 Bürglen OW,+41 (41) 678 15 83,info@enz-der-pflaesterer.ch
281.6,Bodenbeläge Plattenarbeiten,14738,Föhn Platten AG Keramische Platten,Gätzlistrasse 2,6440 Brunnen,+41 (41) 825 61 61,info@foehnplatten.ch
281.6,Bodenbeläge Plattenarbeiten,16355,Hess & Partner Platten Ofenbau AG,Chilcherlistrasse 1,6055 Alpnach Dorf,+41 (41) 670 15 18,info@hessundpartner.ch
281.6,Bodenbeläge Plattenarbeiten,25323,Philipp Staub GmbH,Gartenstrasse 25,6060 Sarnen,,
281.6,Bodenbeläge Plattenarbeiten,25322,Rohrer Platten GmbH,Brünigstrasse 270,6072 Sachseln,+41 (41) 661 22 35,info@rohrer-platten.ch
281.6,Bodenbeläge Plattenarbeiten,25216,Zimmermann & Riebli AG,Gotthardlistrasse 1,6372 Ennetmoos,+41 (41) 610 77 66,zimmermannriebli@bluewin.ch
281.7,Bodenbeläge aus Holz,10640,Amstutz Dekoration,Dominiweg 2,6072 Sachseln,+41 (41) 660 26 44,info@amstutz-dekoration.ch
281.7,Bodenbeläge aus Holz,12319,Bucher AG,Dorfstrasse 3,6064 Kerns,+41 (41) 660 17 04,bucher.innendeko@bluewin.ch
281.7,Bodenbeläge aus Holz,25052,Durrer Sägerei und Trockenbau GmbH,Sagenmatt 2,6066 St. Niklausen OW,+41 (41) 660 54 33,dst@durrer-gmbh.ch
281.7,Bodenbeläge aus Holz,16075,Hans Hassler AG,Chamerstrasse 174,6300 Zug,+41 (41) 748 00 48,infozug@hassler.ch
281.7,Bodenbeläge aus Holz,17990,Küttel Teppiche AG,Luzernerstrasse 94,6010 Kriens,+41 (41) 311 23 23,info@kuettel.ch
281.7,Bodenbeläge aus Holz,25345,Parkettplus GmbH,Hohfurlistrasse 4,6064 Kerns,+41 (41) 660 11 53,info@parkettplus.com
281.7,Bodenbeläge aus Holz,24323,Schnyder Parkett GmbH,Riedenmatt 4,6370 Stans,+41 (41) 622 40 22,
281.7,Bodenbeläge aus Holz,21983,Spiller AG,Horwerstrasse 133,6010 Kriens,+41 (41) 349 10 00,info@spiller.ch
285.1,Innere Malerarbeiten,25219,Capraro Malerei-Decor AG,Pilatusstrasse 10,6060 Sarnen,+41 (41) 377 00 44,info@capraro.ch
285.1,Innere Malerarbeiten,18537,Maler Durrer GmbH,Postplatz 4,6064 Kerns,+41 (41) 660 30 41,info@malerdurrer.ch
285.1,Innere Malerarbeiten,25288,Maler Hinter AG,Brünigstrasse 126a,6072 Sachseln,+41 (41) 660 28 33,kontakt@malerhinter.ch
285.1,Innere Malerarbeiten,25186,MVM AG Stans,Hansmatt 30,6370 Stans,+41 (41) 610 00 42,mail@mvm-ag.ch
285.1,Innere Malerarbeiten,25289,Schwarzenberger GmbH,Baumgartenstrasse 7,6055 Alpnach Dorf,+41 (41) 660 67 01,urs@schwarzenberger-gmbh.ch
285.1,Innere Malerarbeiten,21859,Slanzi Malen Gipsen AG,Mühlemattli 10,6074 Giswil,+41 (41) 675 10 60,info@slanzi.ch
285.1,Innere Malerarbeiten,25291,Theo Fischer & Partner AG,Kreuzstrasse 20,6056 Kägiswil,,
285.1,Innere Malerarbeiten,25290,Walter Zünd AG,Kapuzinerweg 8,6060 Sarnen,+41 (41) 660 07 70,info@zuendmalerei.ch
286,Bautrocknung,12374,Burch Bauaustrocknung AG,Industriestrasse 11,6074 Giswil,+41 (41) 676 77 44,
286,Bautrocknung,16025,Hälg & Co. AG,Ronstrasse 7,6030 Ebikon,+41 (41) 369 60 60,
286,Bautrocknung,16472,Holag Bauheizung,Feldmattstrasse 34,6032 Emmen,+41 (41) 260 65 44,info@holag.ch
286,Bautrocknung,22978,Trockentech AG,Bachweid 3,6340 Baar,+41 (41) 761 41 70,info@trockentech.ch
287,Baureinigung,25389,A.G. Blitz Clean GmbH,Panoramastrasse 17,6074 Giswil,+41 (41) 675 29 10,info@blitz-clean.ch
